objName,objID,objInfoFlag,qualityFlag,raMean,decMean,epochMean,ng,nr,ni,nz,ny,gMeanApMag,gMeanApMagErr,rMeanApMag,rMeanApMagErr,iMeanApMag,iMeanApMagErr,zMeanApMag,zMeanApMagErr,yMeanApMag,yMeanApMagErr
PSO J167.3746-12.6140,92861673745913584,302067712,36,167.3745867,-12.61400376,55934.56695602,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.6835994720459,0.17534400522708893
PSO J167.3747-12.6156,92861673746761627,268513280,32,167.37466181,-12.61564618,56701.55894676,0,1,0,0,0,-999.0,-999.0,19.038999557495117,0.03031500056385994,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3760-12.6089,92861673760429692,268959744,32,167.37603957,-12.60893696,56004.40751157,1,0,0,0,0,21.693500518798828,0.26096799969673157,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3765-12.6098,92861673764498613,268959744,32,167.37645992,-12.60980058,55675.26740741,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.544300079345703,0.255840003490448,-999.0,-999.0
PSO J167.3768-12.6122,92861673768255757,268959744,32,167.37682887,-12.61218,56007.39287037,0,1,0,0,0,-999.0,-999.0,21.612199783325195,0.2570419907569885,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3768-12.6119,92861673768356153,436285440,52,167.376833,-12.61187829,56520.68815972,0,0,1,1,0,-999.0,-999.0,-999.0,-999.0,21.773399353027344,0.1766050010919571,22.211299896240234,0.19524000585079193,-999.0,-999.0
PSO J167.3769-12.6098,92861673768928625,268959744,32,167.37689626,-12.60979012,56007.39287037,0,1,0,0,0,-999.0,-999.0,21.183700561523438,0.24028800427913666,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3770-12.6093,92861673769929193,268959744,32,167.37699443,-12.609318,56007.38146991,0,1,0,0,0,-999.0,-999.0,21.227100372314453,0.22012299299240112,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3773-12.6151,92861673772892284,268959744,32,167.37729706,-12.61507065,55934.57872685,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.434200286865234,0.20992299914360046
PSO J167.3778-12.6094,92861673777739125,268959744,32,167.37782654,-12.60938197,56002.75591435,0,1,1,0,0,-999.0,-999.0,22.396499633789062,0.28620898723602295,21.5314998626709,0.24274800717830658,-999.0,-999.0,-999.0,-999.0
