objName,objID,objInfoFlag,qualityFlag,raMean,decMean,epochMean,ng,nr,ni,nz,ny,gMeanApMag,gMeanApMagErr,rMeanApMag,rMeanApMagErr,iMeanApMag,iMeanApMagErr,zMeanApMag,zMeanApMagErr,yMeanApMag,yMeanApMagErr,dist
PSO J167.5160-12.4579,93051675160230812,512024576,61,167.51598844220732,-12.457950665553806,56258.07803369919,11,13,9,15,14,18.91790008544922,0.0305259991437196,17.681699752807617,0.0043069999665021,16.908300399780273,0.0078119998797774,16.549999237060547,0.0047459998168051,16.3523006439209,0.0077550001442432,9.792608281633454
PSO J167.4049-12.6615,92801674048956537,436527104,52,167.40487448287973,-12.661520286315389,56391.78659880714,11,17,20,19,12,20.17959976196289,0.0299449991434812,19.59199905395508,0.016024999320507,19.43630027770996,0.0215160008519887,19.33679962158203,0.0300840009003877,19.28849983215332,0.0791509971022605,4.585573473045277
PSO J167.3747-12.7424,92701673746859505,436527104,52,167.37466130978544,-12.74237815942953,56609.86414642824,10,15,16,11,8,20.69289970397949,0.0738589987158775,20.439599990844727,0.040812999010086,20.096900939941406,0.0253849998116493,20.167699813842773,0.0444159992039203,19.967500686645508,0.1689970046281814,9.698929533684527
PSO J167.3763-12.7463,92701673762744799,436527104,52,167.3762544738662,-12.746291470819513,56697.87093355473,6,15,10,9,7,21.354900360107425,0.1402029991149902,20.645000457763672,0.0520180016756057,20.048099517822266,0.0502599999308586,20.03190040588379,0.0704540014266967,19.664400100708008,0.2074809968471527,9.904165231673788
PSO J167.3771-12.7449,92701673770356410,436527104,52,167.37706815852223,-12.744945124075938,56657.81498655067,3,14,10,6,0,21.420799255371094,0.1149019971489906,21.046600341796875,0.0723249986767768,21.15920066833496,0.0975899994373321,20.911800384521484,0.148034006357193,-999.0,-999.0,9.814331325017983
PSO J167.6877-12.6710,92791676877145124,436527104,52,167.68767107437623,-12.67105378234059,56779.346380072406,1,6,9,1,1,23.575199127197266,0.1976629942655563,21.588699340820312,0.4546889960765838,20.84959983825684,0.1109490022063255,20.938400268554688,0.1830880045890808,18.95330047607422,0.1765230000019073,17.177619146273482
PSO J167.4507-12.4573,93051674506051582,436527104,52,167.45064804598243,-12.45733079325787,56670.09028258775,2,8,6,2,0,21.90959930419922,0.0848049968481063,21.39780044555664,0.0725660026073455,20.60330009460449,0.0555370002985,20.81629943847656,0.1435309946537017,-999.0,-999.0,8.002751055408837
PSO J167.4511-12.4538,93051674511415781,444915712,53,167.45111163127922,-12.45383634794928,56490.88320319076,12,12,12,16,8,20.617700576782227,0.0639379993081092,19.529699325561523,0.0276820007711648,19.034400939941406,0.0210129991173744,18.837799072265625,0.0202680006623268,18.695199966430664,0.0642030015587806,8.212141374151791
PSO J167.4638-12.4580,93051674638640643,436527104,52,167.4638599755902,-12.458143356825303,56577.6500353021,4,7,8,2,1,20.67620086669922,0.1606319993734359,21.38139915466309,0.1066299974918365,21.109600067138672,0.1492179930210113,21.28420066833496,0.3816390037536621,17.456600189208984,0.0173879992216825,8.208042844299602
PSO J167.4729-12.4513,93051674728858816,436527104,52,167.47285623446712,-12.451321419773173,56479.74862085047,1,10,10,10,10,21.98310089111328,0.2381689995527267,21.241199493408203,0.0701349973678588,19.550899505615234,0.0346760004758834,18.82430076599121,0.0242340005934238,18.3799991607666,0.0198389999568462,8.792005921340781
PSO J167.4829-12.4513,93051674828048879,302309376,36,167.482939329937,-12.4511761343133,56200.37422268058,1,5,4,1,0,20.822900772094727,0.1794590055942535,21.096799850463867,0.1083090007305145,20.89780044555664,0.1161969974637031,22.560800552368164,0.2470020055770874,-999.0,-999.0,9.058136194421984
PSO J167.4952-12.4557,93051674952783591,444915712,53,167.49520113917544,-12.45565485633521,56580.76392505711,12,16,10,12,13,20.41699981689453,0.0452659986913204,19.5093994140625,0.0170540008693933,19.120100021362305,0.0125569999217987,18.94440078735352,0.0251400005072355,18.78499984741211,0.0363549999892711,9.185677201376814
PSO J167.3456-12.6633,92801673456164272,444915712,53,167.34554873838186,-12.663328961732129,56513.16785513048,12,14,14,15,1,20.9158992767334,0.1078239977359771,20.426000595092773,0.0426540002226829,20.02140045166016,0.0630669966340065,19.89259910583496,0.0485339984297752,19.80599975585937,0.1787610054016113,6.226226512014075
PSO J167.3685-12.7428,92701673684578983,503635968,60,167.36846103986483,-12.742844618743982,56716.40892003091,10,13,12,10,11,15.80780029296875,0.0034159999340772,15.458600044250488,0.0041860002093017,15.324299812316896,0.0030360000673681,15.316699981689451,0.0017450000159442,15.284899711608888,0.0044280001893639,9.823882333534108
PSO J167.4008-12.4565,93051674009782541,444915712,53,167.40082565385006,-12.45651802521572,56628.76702348565,2,12,12,12,1,21.61479949951172,0.3450070023536682,20.70359992980957,0.0762209966778755,20.45389938354492,0.0330239981412887,20.142099380493164,0.0584789998829364,20.317800521850582,0.1656630039215088,7.792995765111633
PSO J167.4080-12.4569,93051674079732164,503635968,60,167.40796451293312,-12.456926421251543,56698.52063438376,10,13,14,10,10,17.23270034790039,0.0052660000510513,16.884000778198242,0.003707000054419,16.73270034790039,0.0035959999077022,16.715499877929688,0.0034910000395029,16.692800521850586,0.0118869999423623,7.73545790119968
PSO J167.4144-12.4516,93051674144158429,503635968,60,167.41439312662405,-12.451642177086658,56362.41400845868,9,15,10,10,12,20.00359916687012,0.0303750000894069,18.752700805664062,0.007335000205785,17.558000564575195,0.0028669999446719,17.019100189208984,0.0046879998408257,16.780099868774414,0.0119899995625019,8.042869385373587
PSO J167.4164-12.4561,93051674164643017,436527104,52,167.41639763265192,-12.456110294603594,56581.49172323097,10,14,13,10,2,20.78400039672852,0.0700189992785453,20.42180061340332,0.0444520004093647,20.33839988708496,0.0489920005202293,20.55069923400879,0.0654110014438629,19.111799240112305,0.174685999751091,7.775706148806863
PSO J167.4329-12.4581,93051674329030826,436527104,52,167.43289594848153,-12.458106284112286,56661.289641549,10,15,16,11,1,21.65130043029785,0.1621199995279312,20.93409919738769,0.0457740016281604,20.52300071716309,0.0447669997811317,20.58880043029785,0.0933419987559318,20.270700454711918,0.2010490000247955,7.735046012262185
PSO J167.4393-12.4579,93051674393150887,444915712,53,167.4393073040396,-12.457913679041438,56690.296239641946,6,10,17,14,6,21.535200119018555,0.1046300008893013,20.48360061645508,0.0570929981768131,19.902700424194336,0.0320170000195503,19.69379997253418,0.045839000493288,19.164400100708008,0.0985679998993873,7.810875954207413
PSO J167.4460-12.4530,93051674460076843,436527104,52,167.44597216804183,-12.452991976910203,56635.36634299875,11,14,11,13,2,21.359399795532227,0.1047260016202926,20.968799591064453,0.0441620014607906,21.050500869750977,0.0802489966154098,20.654600143432617,0.0801239982247352,19.71999931335449,0.1592410057783126,8.184133531198446
PSO J167.3252-12.6664,92801673252060732,436527104,52,167.32520644490225,-12.666368466088924,56540.41392400222,1,6,15,12,7,22.181900024414062,0.2395060062408447,20.78089904785156,0.017578000202775,20.1609001159668,0.058152001351118,19.7898006439209,0.05460200086236,19.113500595092773,0.1791500002145767,7.216108271164874
PSO J167.3910-12.4562,93051673910352980,436527104,52,167.39100763361532,-12.456196213524114,56704.47755722754,9,9,17,11,7,19.80270004272461,0.0294230002909898,19.41629981994629,0.0310239996761083,19.260900497436523,0.0124970003962516,19.144100189208984,0.0172840002924203,18.812599182128903,0.100442998111248,7.895380722129549
PSO J167.2765-12.6646,92801672767022911,436527104,52,167.2765349099761,-12.664584340743668,56425.71016458422,1,10,15,10,0,21.944799423217773,0.1970559954643249,21.832300186157227,0.1310209929943084,20.885099411010746,0.1943359971046447,20.830400466918945,0.0932840034365654,-999.0,-999.0,9.530580264350519
PSO J167.6324-12.3688,93151676324647792,503635968,60,167.63243197767102,-12.368787706774636,56521.03739396462,13,15,11,15,12,15.11240005493164,0.0014159999554976,14.74880027770996,0.0010489999549463,14.607399940490724,0.0027540000155568,14.58590030670166,0.0015559999737888,14.55500030517578,0.0020749999675899,18.452760583089024
PSO J167.6611-12.3742,93151676612121283,436527104,52,167.66113772432632,-12.374213249675078,56717.26287568834,1,10,16,11,0,21.86389923095703,0.1834259927272796,20.885400772094727,0.0289389993995428,20.589000701904297,0.0607680007815361,20.3125,0.0338120013475418,-999.0,-999.0,19.497869471339637
PSO J167.6625-12.3718,93151676625594253,444915712,53,167.66251736845533,-12.371772689437696,56629.8949528315,1,10,16,14,3,21.746999740600582,0.1834039986133575,20.534099578857425,0.0921429991722107,20.08209991455078,0.0422349981963634,19.735200881958008,0.0261419992893934,19.416000366210938,0.0289019998162984,19.656099293467584
PSO J167.4298-12.6104,92861674298727953,436527104,52,167.42984727482704,-12.61037397913341,56708.08586984043,8,15,15,10,12,21.45929908752441,0.1140870004892349,20.499099731445312,0.0328090004622936,19.57710075378418,0.0297459997236728,19.236499786376957,0.0212900005280971,19.00909996032715,0.0475840009748935,1.747140993619747
PSO J167.4407-12.6161,92861674407391086,503635968,60,167.4407290761344,-12.616099828445424,56686.91815443385,11,14,16,13,11,17.13450050354004,0.0036899999249726,16.794200897216797,0.0029639999847859,16.66200065612793,0.0029239999130368,16.64259910583496,0.0046509997919201,16.614900588989258,0.010063000023365,2.4134457727939065
PSO J167.6712-12.7888,92651676711563830,444915712,53,167.6711604052374,-12.788766444384772,56496.85223170768,6,12,16,16,13,20.876300811767575,0.0690599977970123,19.68099975585937,0.0211859997361898,19.075000762939453,0.0175889991223812,19.05340003967285,0.0430179983377456,18.7450008392334,0.0859569981694221,19.64172631572613
