    HJD      Phase   Vdmag
52071.87661 0.23234 -0.356
52071.87763 0.23252 -0.348
52071.87866 0.23271 -0.351
52071.87970 0.23290 -0.354
52071.88073 0.23309 -0.352
52071.88176 0.23327 -0.347
52071.88279 0.23346 -0.361
52071.88384 0.23365 -0.352
52071.88487 0.23384 -0.357
52071.88590 0.23402 -0.358
52071.88693 0.23421 -0.344
52071.88796 0.23440 -0.350
52071.88899 0.23459 -0.355
52071.89003 0.23477 -0.350
52071.89106 0.23496 -0.351
52071.89210 0.23515 -0.351
52071.89312 0.23534 -0.348
52072.89516 0.41734 -0.362
52072.89619 0.41753 -0.362
52072.89722 0.41772 -0.379
52072.89825 0.41791 -0.374
52072.89929 0.41809 -0.360
52072.90032 0.41828 -0.367
52072.90135 0.41847 -0.369
52072.90238 0.41866 -0.370
52072.90342 0.41884 -0.370
52072.90445 0.41903 -0.363
52072.90547 0.41922 -0.348
52072.90652 0.41941 -0.354
52072.90755 0.41959 -0.355
52072.90860 0.41979 -0.361
52072.90963 0.41997 -0.364
52072.91066 0.42016 -0.360
52072.91170 0.42035 -0.360
52072.91275 0.42054 -0.349
52072.91378 0.42073 -0.346
52078.74973 0.48075 -0.235
52078.75076 0.48094 -0.219
52078.75180 0.48113 -0.212
52078.75283 0.48132 -0.207
52078.75388 0.48151 -0.206
52078.75491 0.48169 -0.207
52078.75594 0.48188 -0.215
52078.75698 0.48207 -0.199
52078.75802 0.48226 -0.196
52078.75905 0.48245 -0.187
52078.76009 0.48264 -0.188
52078.76111 0.48282 -0.182
52078.76214 0.48301 -0.198
52078.76317 0.48319 -0.169
52078.76420 0.48338 -0.185
52078.76523 0.48357 -0.178
52078.76628 0.48376 -0.187
52078.76731 0.48395 -0.167
52078.76837 0.48414 -0.177
52078.76941 0.48433 -0.169
52078.77045 0.48452 -0.168
52078.77148 0.48470 -0.165
52078.77251 0.48489 -0.170
52078.77354 0.48508 -0.140
52078.77458 0.48527 -0.145
52078.77562 0.48546 -0.143
52078.77665 0.48564 -0.145
52078.77769 0.48583 -0.128
52078.77872 0.48602 -0.126
52078.77976 0.48621 -0.136
52078.78079 0.48640 -0.131
52078.78183 0.48658 -0.131
52078.78286 0.48677 -0.109
52078.78391 0.48696 -0.116
52078.78494 0.48715 -0.109
52078.78598 0.48734 -0.102
52078.78703 0.48753 -0.100
52078.78806 0.48772 -0.097
52078.78909 0.48790 -0.093
52078.79012 0.48809 -0.102
52078.79115 0.48828 -0.086
52078.79219 0.48847 -0.086
52078.79323 0.48865 -0.077
52078.79426 0.48884 -0.090
52078.79529 0.48903 -0.075
52078.79633 0.48922 -0.060
52078.79736 0.48940 -0.071
52078.79840 0.48959 -0.074
52078.79943 0.48978 -0.056
52078.80048 0.48997 -0.064
52078.80151 0.49016 -0.061
52078.80254 0.49035 -0.046
52078.80358 0.49053 -0.051
52078.80461 0.49072 -0.051
52078.80564 0.49091 -0.041
52078.80668 0.49110 -0.043
52078.80771 0.49128 -0.046
52078.80874 0.49147 -0.038
52078.80977 0.49166 -0.041
52078.81081 0.49185 -0.024
52078.81183 0.49203 -0.037
52078.81286 0.49222 -0.030
52078.81390 0.49241 -0.026
52078.81596 0.49278 -0.033
52078.81700 0.49297 -0.017
52078.81803 0.49316 -0.015
52078.81911 0.49336 -0.041
52078.82015 0.49354 -0.014
52078.82117 0.49373 -0.006
52078.82221 0.49392 -0.016
52078.82324 0.49411 -0.013
52078.82427 0.49429  0.000
52078.82531 0.49448 -0.007
52078.82636 0.49467 -0.006
52078.82739 0.49486 -0.001
52078.82843 0.49505 -0.003
52078.82947 0.49524 -0.005
52078.83050 0.49542 -0.004
52078.83154 0.49561 -0.003
52078.83361 0.49599 -0.012
52078.83468 0.49618 -0.003
52078.83571 0.49637  0.005
52078.83674 0.49656 -0.011
52078.83778 0.49675 -0.015
52078.83882 0.49694 -0.006
52078.83985 0.49712 -0.003
52078.84089 0.49731 -0.007
52078.84192 0.49750 -0.007
52078.84295 0.49769 -0.003
52078.84398 0.49787 -0.011
52078.84503 0.49806 -0.012
52078.84607 0.49825 -0.020
52078.84711 0.49844 -0.019
52078.84814 0.49863 -0.013
52078.84918 0.49882 -0.008
52078.85021 0.49900 -0.013
52078.85124 0.49919 -0.010
52078.85227 0.49938 -0.008
52078.85331 0.49957 -0.015
52078.85434 0.49975 -0.019
52078.85539 0.49995 -0.003
52078.85642 0.50013 -0.009
52078.85746 0.50032 -0.005
52078.85850 0.50051 -0.011
52078.85953 0.50070 -0.005
52078.86057 0.50089 -0.003
52078.86161 0.50107 -0.009
52078.86264 0.50126 -0.014
52078.86368 0.50145 -0.007
52078.86471 0.50164 -0.008
52078.86576 0.50183 -0.007
52078.86680 0.50202 -0.000
52078.86783 0.50220 -0.011
52078.86886 0.50239 -0.001
52078.86990 0.50258 -0.013
52078.87093 0.50277 -0.002
52078.87196 0.50295 -0.008
52078.87299 0.50314 -0.009
52078.87403 0.50333 -0.006
52078.87506 0.50352 -0.011
52078.87610 0.50371 -0.009
52078.87818 0.50408 -0.007
52078.87921 0.50427 -0.002
52078.88025 0.50446 -0.007
52078.88128 0.50465 -0.002
52078.88231 0.50483  0.000
52078.88335 0.50502 -0.001
52078.88438 0.50521  0.002
52078.88542 0.50540 -0.003
52078.88645 0.50559 -0.008
52078.88748 0.50577 -0.005
52078.88854 0.50597 -0.009
52078.88958 0.50616 -0.011
52078.89061 0.50634 -0.008
52078.89164 0.50653 -0.006
52078.89267 0.50672 -0.015
52078.89371 0.50691 -0.016
52078.89473 0.50709 -0.012
52078.89576 0.50728 -0.010
52078.89680 0.50747 -0.008
52078.89783 0.50765 -0.014
52078.89887 0.50784 -0.020
52078.89990 0.50803 -0.031
52078.90092 0.50822 -0.029
52078.90196 0.50840 -0.034
52078.90299 0.50859 -0.035
52078.90403 0.50878 -0.036
52078.90506 0.50897 -0.038
52078.90611 0.50916 -0.047
52078.90715 0.50935 -0.041
52078.90819 0.50954 -0.047
52078.90923 0.50972 -0.044
52078.91026 0.50991 -0.042
52078.91129 0.51010 -0.052
52078.91233 0.51029 -0.045
52078.91336 0.51047 -0.059
52078.91439 0.51066 -0.072
52078.91544 0.51085 -0.068
52078.91647 0.51104 -0.075
52078.91751 0.51123 -0.065
52078.91855 0.51142 -0.081
52078.91959 0.51161 -0.085
52078.92062 0.51179 -0.076
52078.92166 0.51198 -0.080
52092.77473 0.02822 -0.337
52092.77577 0.02841 -0.327
52092.77680 0.02859 -0.322
52092.77785 0.02879 -0.347
52092.77889 0.02897 -0.339
52092.77992 0.02916 -0.336
52092.78095 0.02935 -0.343
52092.78198 0.02954 -0.333
52092.78301 0.02972 -0.348
52092.78405 0.02991 -0.332
52092.78508 0.03010 -0.329
52092.78611 0.03029 -0.332
52092.78714 0.03047 -0.335
52092.78818 0.03066 -0.326
52092.78921 0.03085 -0.349
52092.79027 0.03104 -0.348
52092.79235 0.03142 -0.332
52092.79338 0.03161 -0.325
52092.79441 0.03179 -0.331
52092.79544 0.03198 -0.337
52092.79647 0.03217 -0.336
52092.79751 0.03236 -0.336
52092.79854 0.03254 -0.332
52092.79957 0.03273 -0.334
52092.80060 0.03292 -0.345
52092.80163 0.03311 -0.348
52092.80266 0.03329 -0.349
52092.80369 0.03348 -0.345
52092.80472 0.03367 -0.349
52092.80575 0.03385 -0.346
52092.80679 0.03404 -0.346
52092.80783 0.03423 -0.342
52092.80888 0.03442 -0.355
52092.81094 0.03480 -0.341
